time,pres_1,temp_1,pres_2,temp_2
-30.0,89.170,25.23,6.707,25.23
-29.9,89.170,25.23,6.707,25.23
-29.8,89.170,25.23,6.707,25.23
-29.7,89.186,25.23,6.683,25.23
-29.6,89.186,25.23,6.731,25.23
-29.5,89.186,25.23,6.683,25.23
-29.4,89.146,25.23,6.683,25.23
-29.3,89.186,25.23,6.707,25.23
-29.2,89.186,25.23,6.707,25.23
-29.1,89.186,25.23,6.707,25.23
-29.0,89.170,25.23,6.707,25.23
-28.9,89.170,25.23,6.731,25.23
-28.8,89.186,25.23,6.707,25.23
-28.7,89.170,25.23,6.707,25.23
-28.6,89.186,25.23,6.683,25.23
-28.5,89.186,25.23,6.707,25.23
-28.4,89.170,25.23,6.707,25.23
-28.3,89.170,25.23,6.707,25.23
-28.2,89.146,25.23,6.683,25.23
-28.1,89.186,25.23,6.707,25.23
-28.0,89.146,25.23,6.731,25.23
-27.9,89.170,25.23,6.731,25.23
-27.8,89.170,25.23,6.707,25.23
-27.7,89.146,25.23,6.707,25.23
-27.6,89.170,25.23,6.707,25.23
-27.5,89.170,25.23,6.707,25.23
-27.4,89.146,25.23,6.707,25.23
-27.3,89.170,25.23,6.683,25.23
-27.2,89.170,25.23,6.707,25.23
-27.1,89.170,25.23,6.707,25.23
-27.0,89.170,25.23,6.707,25.23
-26.9,89.170,25.23,6.731,25.23
-26.8,89.146,25.23,6.707,25.23
-26.7,89.146,25.23,6.731,25.23
-26.6,89.130,25.23,6.731,25.23
-26.5,89.146,25.23,6.683,25.23
-26.4,89.146,25.23,6.707,25.23
-26.3,89.146,25.23,6.707,25.23
-26.2,89.170,25.23,6.707,25.23
-26.1,89.170,25.23,6.707,25.23
-26.0,89.130,25.23,6.731,25.23
-25.9,89.146,25.23,6.707,25.23
-25.8,89.146,25.23,6.683,25.23
-25.7,89.130,25.23,6.707,25.23
-25.6,89.146,25.23,6.731,25.23
-25.5,89.186,25.23,6.707,25.23
-25.4,89.170,25.23,6.707,25.23
-25.3,89.146,25.23,6.707,25.23
-25.2,89.146,25.23,6.731,25.23
-25.1,89.170,25.23,6.683,25.23
-25.0,89.146,25.23,6.707,25.23
-24.9,89.170,25.23,6.731,25.23
-24.8,89.130,25.23,6.707,25.23
-24.7,89.170,25.23,6.707,25.23
-24.6,89.170,25.23,6.683,25.23
-24.5,89.146,25.23,6.707,25.23
-24.4,89.170,25.23,6.707,25.23
-24.3,89.146,25.23,6.707,25.23
-24.2,89.146,25.23,6.707,25.23
-24.1,89.146,25.23,6.707,25.23
-24.0,89.170,25.23,6.707,25.23
-23.9,89.170,25.23,6.731,25.23
-23.8,89.170,25.23,6.707,25.23
-23.7,89.146,25.23,6.707,25.23
-23.6,89.170,25.23,6.731,25.23
-23.5,89.170,25.23,6.707,25.23
-23.4,89.146,25.23,6.707,25.23
-23.3,89.146,25.23,6.707,25.23
-23.2,89.170,25.23,6.683,25.23
-23.1,89.130,25.23,6.683,25.23
-23.0,89.170,25.23,6.683,25.23
-22.9,89.146,25.23,6.707,25.23
-22.8,89.170,25.23,6.707,25.23
-22.7,89.170,25.23,6.707,25.23
-22.6,89.146,25.23,6.707,25.23
-22.5,89.146,25.23,6.707,25.23
-22.4,89.146,25.23,6.707,25.23
-22.3,89.146,25.23,6.731,25.23
-22.2,89.170,25.23,6.707,25.23
-22.1,89.170,25.23,6.707,25.23
-22.0,89.146,25.23,6.731,25.23
-21.9,89.170,25.23,6.683,25.23
-21.8,89.170,25.23,6.731,25.23
-21.7,89.146,25.23,6.731,25.23
-21.6,89.170,25.23,6.707,25.23
-21.5,89.146,25.23,6.707,25.23
-21.4,89.146,25.23,6.707,25.23
-21.3,89.146,25.23,6.731,25.23
-21.2,89.146,25.23,6.731,25.23
-21.1,89.146,25.23,6.707,25.23
-21.0,89.146,25.23,6.731,25.23
-20.9,89.146,25.23,6.683,25.23
-20.8,89.170,25.23,6.731,25.23
-20.7,89.170,25.23,6.731,25.23
-20.6,89.146,25.23,6.707,25.23
-20.5,89.146,25.23,6.707,25.23
-20.4,89.170,25.23,6.731,25.23
-20.3,89.170,25.23,6.683,25.23
-20.2,89.146,25.23,6.707,25.23
-20.1,89.170,25.23,6.731,25.23
-20.0,89.146,25.23,6.707,25.23
-19.9,89.130,25.23,6.707,25.23
-19.8,89.170,25.23,6.707,25.23
-19.7,89.170,25.23,6.707,25.23
-19.6,89.170,25.23,6.731,25.23
-19.5,89.170,25.23,6.707,25.23
-19.4,89.170,25.23,6.731,25.23
-19.3,89.170,25.23,6.731,25.23
-19.2,89.146,25.23,6.707,25.23
-19.1,89.146,25.23,6.707,25.23
-19.0,89.146,25.23,6.731,25.23
-18.9,89.170,25.23,6.683,25.23
-18.8,89.170,25.23,6.731,25.23
-18.7,89.170,25.23,6.731,25.23
-18.6,89.170,25.23,6.707,25.23
-18.5,89.146,25.23,6.707,25.23
-18.4,89.146,25.23,6.707,25.23
-18.3,89.146,25.23,6.707,25.23
-18.2,89.146,25.23,6.707,25.23
-18.1,89.170,25.23,6.731,25.23
-18.0,89.146,25.23,6.731,25.23
-17.9,89.146,25.23,6.683,25.23
-17.8,89.146,25.23,6.707,25.23
-17.7,89.170,25.23,6.731,25.23
-17.6,89.146,25.23,6.683,25.23
-17.5,89.146,25.23,6.731,25.23
-17.4,89.130,25.23,6.707,25.23
-17.3,89.130,25.23,6.707,25.23
-17.2,89.130,25.23,6.707,25.23
-17.1,89.146,25.23,6.731,25.23
-17.0,89.146,25.23,6.683,25.23
-16.9,89.130,25.23,6.731,25.23
-16.8,89.170,25.23,6.707,25.23
-16.7,89.170,25.23,6.731,25.23
-16.6,89.146,25.23,6.707,25.23
-16.5,89.170,25.23,6.707,25.23
-16.4,89.146,25.23,6.707,25.23
-16.3,89.146,25.23,6.707,25.23
-16.2,89.130,25.23,6.707,25.23
-16.1,89.146,25.23,6.707,25.23
-16.0,89.146,25.23,6.731,25.23
-15.9,89.130,25.23,6.707,25.23
-15.8,89.170,25.23,6.707,25.23
-15.7,89.170,25.23,6.707,25.23
-15.6,89.146,25.23,6.683,25.23
-15.5,89.130,25.23,6.731,25.23
-15.4,89.146,25.23,6.707,25.23
-15.3,89.170,25.23,6.707,25.23
-15.2,89.130,25.23,6.731,25.23
-15.1,89.130,25.23,6.707,25.23
-15.0,89.130,25.23,6.731,25.23
-14.9,89.130,25.23,6.707,25.23
-14.8,89.130,25.23,6.707,25.23
-14.7,89.146,25.23,6.707,25.23
-14.6,89.146,25.23,6.707,25.23
-14.5,89.146,25.23,6.707,25.23
-14.4,89.130,25.23,6.731,25.23
-14.3,89.146,25.23,6.731,25.23
-14.2,89.130,25.23,6.731,25.23
-14.1,89.130,25.23,6.731,25.23
-14.0,89.130,25.23,6.707,25.23
-13.9,89.130,25.23,6.707,25.23
-13.8,89.146,25.23,6.707,25.23
-13.7,89.130,25.23,6.707,25.23
-13.6,89.130,25.23,6.707,25.23
-13.5,89.130,25.23,6.731,25.23
-13.4,89.146,25.23,6.754,25.23
-13.3,89.130,25.23,6.707,25.23
-13.2,89.130,25.23,6.683,25.23
-13.1,89.130,25.23,6.707,25.23
-13.0,89.130,25.23,6.707,25.23
-12.9,89.130,25.23,6.707,25.23
-12.8,89.130,25.23,6.683,25.23
-12.7,89.130,25.23,6.731,25.23
-12.6,89.130,25.23,6.683,25.23
-12.5,89.107,25.23,6.707,25.23
-12.4,89.130,25.23,6.707,25.23
-12.3,89.130,25.23,6.707,25.23
-12.2,89.146,25.23,6.731,25.23
-12.1,89.130,25.23,6.707,25.23
-12.0,89.146,25.23,6.707,25.23
-11.9,89.130,25.23,6.707,25.23
-11.8,89.146,25.23,6.731,25.23
-11.7,89.130,25.23,6.731,25.23
-11.6,89.146,25.23,6.707,25.23
-11.5,89.130,25.23,6.707,25.23
-11.4,89.146,25.23,6.707,25.23
-11.3,89.130,25.23,6.707,25.23
-11.2,89.130,25.23,6.707,25.23
-11.1,89.130,25.23,6.731,25.23
-11.0,89.146,25.23,6.731,25.23
-10.9,89.170,25.23,6.707,25.23
-10.8,89.146,25.23,6.707,25.23
-10.7,89.130,25.23,6.731,25.23
-10.6,89.146,25.23,6.731,25.23
-10.5,89.130,25.23,6.707,25.23
-10.4,89.146,25.23,6.731,25.23
-10.3,89.146,25.23,6.707,25.23
-10.2,89.130,25.23,6.707,25.23
-10.1,89.107,25.23,6.731,25.23
-10.0,89.130,25.23,6.707,25.23
-9.9,89.130,25.23,6.731,25.23
-9.8,89.130,25.23,6.707,25.23
-9.7,89.130,25.23,6.707,25.23
-9.6,89.130,25.23,6.707,25.23
-9.5,89.130,25.23,6.707,25.23
-9.4,89.130,25.23,6.707,25.23
-9.3,89.146,25.23,6.754,25.23
-9.2,89.146,25.23,6.707,25.23
-9.1,89.130,25.23,6.731,25.23
-9.0,89.130,25.23,6.707,25.23
-8.9,89.130,25.23,6.707,25.23
-8.8,89.130,25.23,6.731,25.23
-8.7,89.146,25.23,6.707,25.23
-8.6,89.130,25.23,6.754,25.23
-8.5,89.130,25.23,6.731,25.23
-8.4,89.146,25.23,6.731,25.23
-8.3,89.146,25.23,6.731,25.23
-8.2,89.146,25.23,6.731,25.23
-8.1,89.130,25.23,6.707,25.23
-8.0,89.130,25.23,6.707,25.23
-7.9,89.130,25.23,6.707,25.23
-7.8,89.130,25.23,6.731,25.23
-7.7,89.130,25.23,6.731,25.23
-7.6,89.130,25.23,6.731,25.23
-7.5,89.130,25.23,6.707,25.23
-7.4,89.130,25.23,6.707,25.23
-7.3,89.130,25.23,6.707,25.23
-7.2,89.130,25.23,6.731,25.23
-7.1,89.130,25.23,6.731,25.23
-7.0,89.130,25.23,6.707,25.23
-6.9,89.130,25.23,6.731,25.23
-6.8,89.107,25.23,6.707,25.23
-6.7,89.130,25.23,6.707,25.23
-6.6,89.130,25.23,6.731,25.23
-6.5,89.146,25.23,6.707,25.23
-6.4,89.130,25.23,6.707,25.23
-6.3,89.130,25.23,6.731,25.23
-6.2,89.130,25.23,6.731,25.23
-6.1,89.130,25.23,6.707,25.23
-6.0,89.130,25.23,6.731,25.23
-5.9,89.107,25.23,6.731,25.23
