time,pres_1,temp_1,pres_2,temp_2
-30.0,89.998,23.96,89.935,23.96
-29.9,89.998,23.96,89.935,23.96
-29.8,89.998,23.96,89.935,23.96
-29.7,89.998,23.96,89.935,23.96
-29.6,89.998,23.96,89.935,23.96
-29.5,89.998,23.96,89.935,23.96
-29.4,89.998,23.96,89.935,23.96
-29.3,89.998,23.96,89.935,23.96
-29.2,89.998,23.96,89.935,23.96
-29.1,90.022,23.96,89.935,23.96
-29.0,89.998,23.96,89.951,23.96
-28.9,89.998,23.96,89.935,23.96
-28.8,89.998,23.96,89.935,23.96
-28.7,89.998,23.96,89.935,23.96
-28.6,89.983,23.96,89.935,23.96
-28.5,89.983,23.96,89.935,23.96
-28.4,89.983,23.96,89.935,23.96
-28.3,89.983,23.96,89.935,23.96
-28.2,89.998,23.96,89.951,23.96
-28.1,89.998,23.96,89.935,23.96
-28.0,89.983,23.96,89.935,23.96
-27.9,89.983,23.96,89.935,23.96
-27.8,89.998,23.96,89.935,23.96
-27.7,89.998,23.96,89.935,23.96
-27.6,89.998,23.96,89.935,23.96
-27.5,89.998,23.96,89.935,23.96
-27.4,89.998,23.96,89.935,23.96
-27.3,89.998,23.96,89.935,23.96
-27.2,89.998,23.96,89.935,23.96
-27.1,89.998,23.96,89.935,23.96
-27.0,89.983,23.96,89.951,23.96
-26.9,89.998,23.96,89.935,23.96
-26.8,89.983,23.96,89.935,23.96
-26.7,89.983,23.96,89.935,23.96
-26.6,89.983,23.96,89.935,23.96
-26.5,89.998,23.96,89.935,23.96
-26.4,89.998,23.96,89.951,23.96
-26.3,89.998,23.96,89.912,23.96
-26.2,89.983,23.96,89.935,23.96
-26.1,89.983,23.96,89.935,23.96
-26.0,89.983,23.96,89.912,23.96
-25.9,89.998,23.96,89.935,23.96
-25.8,89.983,23.96,89.935,23.96
-25.7,89.998,23.96,89.935,23.96
-25.6,89.983,23.96,89.912,23.96
-25.5,89.998,23.96,89.951,23.96
-25.4,89.983,23.96,89.935,23.96
-25.3,89.998,23.96,89.951,23.96
-25.2,89.983,23.96,89.912,23.96
-25.1,89.983,23.96,89.935,23.96
-25.0,89.983,23.96,89.935,23.96
-24.9,89.998,23.96,89.912,23.96
-24.8,89.983,23.96,89.935,23.96
-24.7,89.983,23.96,89.912,23.96
-24.6,89.998,23.96,89.935,23.96
-24.5,89.998,23.96,89.935,23.96
-24.4,89.983,23.96,89.935,23.96
-24.3,89.983,23.96,89.935,23.96
-24.2,89.983,23.96,89.935,23.96
-24.1,89.983,23.96,89.935,23.96
-24.0,89.983,23.96,89.935,23.96
-23.9,89.959,23.96,89.935,23.96
-23.8,89.959,23.96,89.935,23.96
-23.7,89.983,23.96,89.935,23.96
-23.6,89.983,23.96,89.935,23.96
-23.5,89.983,23.96,89.935,23.96
-23.4,89.983,23.96,89.951,23.96
-23.3,89.983,23.96,89.935,23.96
-23.2,89.983,23.96,89.935,23.96
-23.1,89.983,23.96,89.935,23.96
-23.0,89.983,23.96,89.935,23.96
-22.9,89.959,23.96,89.912,23.96
-22.8,89.959,23.96,89.935,23.96
-22.7,89.959,23.96,89.951,23.96
-22.6,89.983,23.96,89.935,23.96
-22.5,89.959,23.96,89.935,23.96
-22.4,89.983,23.96,89.935,23.96
-22.3,89.983,23.96,89.935,23.96
-22.2,89.959,23.96,89.935,23.96
-22.1,89.983,23.96,89.935,23.96
-22.0,89.983,23.96,89.935,23.96
-21.9,89.959,23.96,89.935,23.96
-21.8,89.983,23.96,89.935,23.96
-21.7,89.983,23.96,89.935,23.96
-21.6,89.983,23.96,89.912,23.96
-21.5,89.959,23.96,89.935,23.96
-21.4,89.935,23.96,89.935,23.96
-21.3,89.935,23.96,89.935,23.96
-21.2,89.959,23.96,89.935,23.96
-21.1,89.983,23.96,89.935,23.96
-21.0,89.959,23.96,89.935,23.96
-20.9,89.959,23.96,89.935,23.96
-20.8,89.983,23.96,89.935,23.96
-20.7,89.983,23.96,89.935,23.96
-20.6,89.935,23.96,89.935,23.96
-20.5,89.935,23.96,89.935,23.96
-20.4,89.935,23.96,89.935,23.96
-20.3,89.959,23.96,89.935,23.96
-20.2,89.959,23.96,89.912,23.96
-20.1,89.935,23.96,89.935,23.96
-20.0,89.959,23.96,89.935,23.96
-19.9,89.935,23.96,89.935,23.96
-19.8,89.935,23.96,89.951,23.96
-19.7,89.983,23.96,89.935,23.96
-19.6,89.983,23.96,89.951,23.96
-19.5,89.935,23.96,89.935,23.96
-19.4,89.959,23.96,89.935,23.96
-19.3,89.935,23.96,89.951,23.96
-19.2,89.935,23.96,89.935,23.96
-19.1,89.935,23.96,89.935,23.96
-19.0,89.959,23.96,89.935,23.96
-18.9,89.959,23.96,89.935,23.96
-18.8,89.935,23.96,89.935,23.96
-18.7,89.959,23.96,89.935,23.96
-18.6,89.959,23.96,89.935,23.96
-18.5,89.935,23.96,89.951,23.96
-18.4,89.935,23.96,89.935,23.96
-18.3,89.959,23.96,89.935,23.96
-18.2,89.983,23.96,89.951,23.96
-18.1,89.959,23.96,89.912,23.96
-18.0,89.935,23.96,89.935,23.96
-17.9,89.935,23.96,89.935,23.96
-17.8,89.959,23.96,89.935,23.96
-17.7,89.935,23.96,89.935,23.96
-17.6,89.935,23.96,89.935,23.96
-17.5,89.959,23.96,89.935,23.96
-17.4,89.935,23.96,89.935,23.96
-17.3,89.935,23.96,89.935,23.96
-17.2,89.959,23.96,89.935,23.96
-17.1,89.935,23.96,89.935,23.96
-17.0,89.983,23.96,89.935,23.96
-16.9,89.935,23.96,89.935,23.96
-16.8,89.935,23.96,89.935,23.96
-16.7,89.935,23.96,89.951,23.96
-16.6,89.935,23.96,89.912,23.96
-16.5,89.935,23.96,89.951,23.96
-16.4,89.935,23.96,89.935,23.96
-16.3,89.919,23.96,89.951,23.96
-16.2,89.935,23.96,89.935,23.96
-16.1,89.935,23.96,89.935,23.96
-16.0,89.959,23.96,89.935,23.96
-15.9,89.935,23.96,89.935,23.96
-15.8,89.935,23.96,89.935,23.96
-15.7,89.959,23.96,89.935,23.96
-15.6,89.935,23.96,89.935,23.96
-15.5,89.935,23.96,89.935,23.96
-15.4,89.959,23.96,89.935,23.96
-15.3,89.935,23.96,89.935,23.96
-15.2,89.935,23.96,89.935,23.96
-15.1,89.919,23.96,89.935,23.96
-15.0,89.935,23.96,89.935,23.96
-14.9,89.935,23.96,89.935,23.96
-14.8,89.935,23.96,89.935,23.96
-14.7,89.935,23.96,89.935,23.96
-14.6,89.935,23.96,89.935,23.96
-14.5,89.935,23.96,89.935,23.96
-14.4,89.959,23.96,89.935,23.96
-14.3,89.935,23.96,89.912,23.96
-14.2,89.935,23.96,89.935,23.96
-14.1,89.919,23.96,89.935,23.96
-14.0,89.935,23.96,89.935,23.96
-13.9,89.959,23.96,89.935,23.96
-13.8,89.935,23.96,89.935,23.96
-13.7,89.919,23.96,89.935,23.96
-13.6,89.935,23.96,89.935,23.96
-13.5,89.919,23.96,89.935,23.96
-13.4,89.935,23.96,89.951,23.96
-13.3,89.935,23.96,89.935,23.96
-13.2,89.919,23.96,89.935,23.96
-13.1,89.919,23.96,89.912,23.96
-13.0,89.935,23.96,89.912,23.96
-12.9,89.919,23.96,89.935,23.96
-12.8,89.919,23.96,89.935,23.96
-12.7,89.896,23.96,89.935,23.96
-12.6,89.935,23.96,89.935,23.96
-12.5,89.919,23.96,89.935,23.96
-12.4,89.919,23.96,89.935,23.96
-12.3,89.935,23.96,89.951,23.96
-12.2,89.919,23.96,89.935,23.96
-12.1,89.935,23.96,89.935,23.96
-12.0,89.919,23.96,89.951,23.96
-11.9,89.935,23.96,89.935,23.96
-11.8,89.935,23.96,89.935,23.96
-11.7,89.919,23.96,89.935,23.96
-11.6,89.935,23.96,89.912,23.96
-11.5,89.919,23.96,89.935,23.96
-11.4,89.919,23.96,89.935,23.96
-11.3,89.935,23.96,89.951,23.96
-11.2,89.919,23.96,89.935,23.96
-11.1,89.919,23.96,89.935,23.96
-11.0,89.896,23.96,89.935,23.96
-10.9,89.919,23.96,89.935,23.96
-10.8,89.919,23.96,89.935,23.96
-10.7,89.896,23.96,89.935,23.96
-10.6,89.935,23.96,89.935,23.96
-10.5,89.919,23.96,89.951,23.96
-10.4,89.919,23.96,89.935,23.96
-10.3,89.919,23.96,89.935,23.96
-10.2,89.935,23.96,89.935,23.96
-10.1,89.919,23.96,89.935,23.96
-10.0,89.919,23.96,89.935,23.96
-9.9,89.919,23.96,89.935,23.96
-9.8,89.935,23.96,89.912,23.96
-9.7,89.919,23.96,89.935,23.96
-9.6,89.919,23.96,89.912,23.96
-9.5,89.919,23.96,89.935,23.96
-9.4,89.896,23.96,89.935,23.96
-9.3,89.919,23.96,89.912,23.96
-9.2,89.919,23.96,89.935,23.96
-9.1,89.919,23.96,89.935,23.96
-9.0,89.919,23.96,89.935,23.96
-8.9,89.919,23.96,89.935,23.96
-8.8,89.919,23.96,89.912,23.96
-8.7,89.919,23.96,89.935,23.96
-8.6,89.919,23.96,89.935,23.96
-8.5,89.935,23.96,89.912,23.96
-8.4,89.935,23.96,89.935,23.96
-8.3,89.919,23.96,89.935,23.96
-8.2,89.919,23.96,89.935,23.96
-8.1,89.919,23.96,89.935,23.96
-8.0,89.919,23.96,89.935,23.96
-7.9,89.919,23.96,89.935,23.96
-7.8,89.919,23.96,89.935,23.96
-7.7,89.896,23.96,89.951,23.96
-7.6,89.935,23.96,89.935,23.96
-7.5,89.919,23.96,89.935,23.96
-7.4,89.919,23.96,89.935,23.96
-7.3,89.919,23.96,89.935,23.96
-7.2,89.919,23.96,89.935,23.96
-7.1,89.919,23.96,89.935,23.96
-7.0,89.919,23.96,89.935,23.96
-6.9,89.919,23.96,89.935,23.96
-6.8,89.896,23.96,89.935,23.96
-6.7,89.919,23.96,89.975,23.96
-6.6,89.919,23.96,89.935,23.96
-6.5,89.919,23.96,89.912,23.96
-6.4,89.919,23.96,89.935,23.96
-6.3,89.896,23.96,89.912,23.96
-6.2,89.919,23.96,89.935,23.96
-6.1,89.919,23.96,89.935,23.96
-6.0,89.919,23.96,89.912,23.96
-5.9,89.896,23.96,89.935,23.96
-5.8,89.919,23.96,89.912,23.96
-5.7,89.919,23.86,89.912,23.86
-5.6,89.919,23.96,89.935,23.96
-5.5,89.896,23.96,89.935,23.96
-5.4,89.919,23.96,89.912,23.96
-5.3,89.896,23.96,89.935,23.96
-5.2,89.896,23.96,89.912,23.96
-5.1,89.919,23.96,89.935,23.96
-5.0,89.919,23.86,89.935,23.86
-4.9,89.919,23.96,89.935,23.96
-4.8,89.919,23.96,89.935,23.96
-4.7,89.896,23.96,89.912,23.96
-4.6,89.919,23.96,89.935,23.96
-4.5,89.896,23.86,89.935,23.86
-4.4,89.919,23.86,89.935,23.86
-4.3,89.919,23.96,89.951,23.96
-4.2,89.919,23.96,89.935,23.96
-4.1,89.896,23.96,89.912,23.96
-4.0,89.880,23.86,89.912,23.86
-3.9,89.896,23.86,89.912,23.86
-3.8,89.919,23.96,89.935,23.96
-3.7,89.896,23.96,89.935,23.96
-3.6,89.880,23.96,89.935,23.96
