time,pres_1,temp_1,pres_2,temp_2
-30.1,89.864,20.35,28.966,20.35
-30.0,89.864,20.35,28.950,20.35
-29.9,89.864,20.35,28.966,20.35
-29.8,89.888,20.35,28.966,20.35
-29.7,89.912,20.35,28.966,20.35
-29.6,89.864,20.35,28.950,20.35
-29.5,89.888,20.35,28.966,20.35
-29.4,89.888,20.35,28.982,20.35
-29.3,89.888,20.35,28.966,20.35
-29.2,89.864,20.35,28.950,20.35
-29.1,89.888,20.35,28.966,20.35
-29.0,89.864,20.35,28.966,20.35
-28.9,89.864,20.35,28.966,20.35
-28.8,89.888,20.35,28.950,20.35
-28.7,89.864,20.35,28.950,20.35
-28.6,89.888,20.35,28.966,20.35
-28.5,89.864,20.35,28.966,20.35
-28.4,89.864,20.35,28.966,20.35
-28.3,89.888,20.35,28.950,20.35
-28.2,89.888,20.35,28.950,20.35
-28.1,89.864,20.35,28.966,20.35
-28.0,89.888,20.35,28.950,20.35
-27.9,89.888,20.35,28.950,20.35
-27.8,89.888,20.35,28.966,20.35
-27.7,89.864,20.35,28.966,20.35
-27.6,89.888,20.35,28.966,20.35
-27.5,89.888,20.35,28.950,20.35
-27.4,89.888,20.35,28.966,20.35
-27.3,89.864,20.35,28.966,20.35
-27.2,89.888,20.35,28.966,20.35
-27.1,89.864,20.35,28.950,20.35
-27.0,89.864,20.35,28.950,20.35
-26.9,89.888,20.35,28.950,20.35
-26.8,89.888,20.35,28.966,20.35
-26.7,89.864,20.35,28.966,20.35
-26.6,89.888,20.35,28.966,20.35
-26.5,89.864,20.35,28.966,20.35
-26.4,89.864,20.35,28.966,20.35
-26.3,89.864,20.35,28.966,20.35
-26.2,89.888,20.35,28.950,20.35
-26.1,89.888,20.35,28.966,20.35
-26.0,89.864,20.35,28.966,20.35
-25.9,89.888,20.35,28.966,20.35
-25.8,89.888,20.35,28.966,20.35
-25.7,89.888,20.35,28.982,20.35
-25.6,89.864,20.35,28.966,20.35
-25.5,89.912,20.35,28.982,20.35
-25.4,89.888,20.35,28.966,20.35
-25.3,89.888,20.35,28.950,20.35
-25.2,89.864,20.35,28.966,20.35
-25.1,89.912,20.35,28.950,20.35
-25.0,89.864,20.35,28.950,20.35
-24.9,89.864,20.35,28.966,20.35
-24.8,89.888,20.35,28.950,20.35
-24.7,89.888,20.35,28.950,20.35
-24.6,89.888,20.35,28.966,20.35
-24.5,89.888,20.35,28.982,20.35
-24.4,89.888,20.35,28.982,20.35
-24.3,89.888,20.35,28.966,20.35
-24.2,89.888,20.35,28.966,20.35
-24.1,89.888,20.35,28.966,20.35
-24.0,89.888,20.35,28.966,20.35
-23.9,89.912,20.35,28.966,20.35
-23.8,89.912,20.35,28.966,20.35
-23.7,89.888,20.35,28.966,20.35
-23.6,89.888,20.35,28.982,20.35
-23.5,89.888,20.35,28.966,20.35
-23.4,89.864,20.35,28.966,20.35
-23.3,89.888,20.35,28.982,20.35
-23.2,89.888,20.35,28.966,20.35
-23.1,89.912,20.35,28.966,20.35
-23.0,89.888,20.35,28.966,20.35
-22.9,89.912,20.35,28.966,20.35
-22.8,89.912,20.35,28.966,20.35
-22.7,89.888,20.35,28.966,20.35
-22.6,89.888,20.35,28.966,20.35
-22.5,89.864,20.35,28.966,20.35
-22.4,89.888,20.35,28.966,20.35
-22.3,89.888,20.35,28.966,20.35
-22.2,89.864,20.35,28.966,20.35
-22.1,89.888,20.35,28.982,20.35
-22.0,89.888,20.35,28.966,20.35
-21.9,89.864,20.35,28.982,20.35
-21.8,89.888,20.35,28.966,20.35
-21.7,89.888,20.35,28.966,20.35
-21.6,89.888,20.35,28.966,20.35
-21.5,89.888,20.35,28.966,20.35
-21.4,89.888,20.35,28.966,20.35
-21.3,89.864,20.35,28.982,20.35
-21.2,89.912,20.35,28.966,20.35
-21.1,89.888,20.35,28.966,20.35
-21.0,89.864,20.35,28.966,20.35
-20.9,89.888,20.35,28.966,20.35
-20.8,89.864,20.35,28.966,20.35
-20.7,89.864,20.35,28.966,20.35
-20.6,89.888,20.35,28.966,20.35
-20.5,89.888,20.35,28.966,20.35
-20.4,89.888,20.35,28.966,20.35
-20.3,89.888,20.35,28.966,20.35
-20.2,89.888,20.35,28.966,20.35
-20.1,89.888,20.35,28.966,20.35
-20.0,89.888,20.35,28.982,20.35
-19.9,89.864,20.35,28.966,20.35
-19.8,89.912,20.35,28.966,20.35
-19.7,89.888,20.35,28.966,20.35
-19.6,89.888,20.35,28.982,20.35
-19.5,89.888,20.35,28.966,20.35
-19.4,89.888,20.35,28.966,20.35
-19.3,89.864,20.35,28.966,20.35
-19.2,89.912,20.35,28.966,20.35
-19.1,89.888,20.35,28.966,20.35
-19.0,89.864,20.35,28.966,20.35
-18.9,89.912,20.35,28.982,20.35
-18.8,89.912,20.35,28.982,20.35
-18.7,89.888,20.35,28.966,20.35
-18.6,89.888,20.35,28.982,20.35
-18.5,89.912,20.35,28.982,20.35
-18.4,89.888,20.35,28.966,20.35
-18.3,89.888,20.35,28.982,20.35
-18.2,89.888,20.35,28.997,20.35
-18.1,89.888,20.35,28.966,20.35
-18.0,89.888,20.35,28.982,20.35
-17.9,89.888,20.35,28.982,20.35
-17.8,89.888,20.35,28.966,20.35
-17.7,89.888,20.35,28.966,20.35
-17.6,89.888,20.35,28.966,20.35
-17.5,89.888,20.35,28.966,20.35
-17.4,89.864,20.35,28.982,20.35
-17.3,89.888,20.35,28.966,20.35
-17.2,89.888,20.35,28.966,20.35
-17.1,89.888,20.35,28.997,20.35
-17.0,89.864,20.35,28.966,20.35
-16.9,89.864,20.35,28.966,20.35
-16.8,89.888,20.35,28.966,20.35
-16.7,89.864,20.35,28.982,20.35
-16.6,89.888,20.35,28.966,20.35
-16.5,89.888,20.35,28.982,20.35
-16.4,89.888,20.35,28.982,20.35
-16.3,89.888,20.35,28.966,20.35
-16.2,89.888,20.35,28.966,20.35
-16.1,89.888,20.35,28.982,20.35
-16.0,89.935,20.35,28.966,20.35
-15.9,89.888,20.35,28.966,20.35
-15.8,89.888,20.35,28.966,20.35
-15.7,89.888,20.35,28.966,20.35
-15.6,89.888,20.35,28.982,20.35
-15.5,89.864,20.35,28.966,20.35
-15.4,89.888,20.35,28.982,20.35
-15.3,89.888,20.35,28.982,20.35
-15.2,89.912,20.35,28.966,20.35
-15.1,89.912,20.35,28.966,20.35
-15.0,89.888,20.35,28.966,20.35
-14.9,89.888,20.35,28.982,20.35
-14.8,89.888,20.35,28.966,20.35
-14.7,89.864,20.35,28.966,20.35
-14.6,89.912,20.35,28.966,20.35
-14.5,89.912,20.35,28.966,20.35
-14.4,89.888,20.35,28.982,20.35
-14.3,89.864,20.35,28.982,20.35
-14.2,89.888,20.35,28.997,20.35
-14.1,89.888,20.35,28.966,20.35
-14.0,89.912,20.35,28.982,20.35
-13.9,89.888,20.35,28.966,20.35
-13.8,89.888,20.35,28.966,20.35
-13.7,89.888,20.35,28.966,20.35
-13.6,89.912,20.35,28.982,20.35
-13.5,89.912,20.35,28.966,20.35
-13.4,89.912,20.35,28.966,20.35
-13.3,89.912,20.35,28.982,20.35
-13.2,89.888,20.35,28.982,20.35
-13.1,89.888,20.35,28.982,20.35
-13.0,89.888,20.35,28.966,20.35
-12.9,89.888,20.35,28.982,20.35
-12.8,89.888,20.35,28.966,20.35
-12.7,89.912,20.35,28.966,20.35
-12.6,89.912,20.35,28.966,20.35
-12.5,89.888,20.35,28.966,20.35
-12.4,89.912,20.35,28.966,20.35
-12.3,89.888,20.35,28.966,20.35
-12.2,89.888,20.35,28.966,20.35
-12.1,89.888,20.35,28.966,20.35
-12.0,89.888,20.35,28.966,20.35
-11.9,89.888,20.35,28.950,20.35
-11.8,89.912,20.35,28.966,20.35
-11.7,89.888,20.35,28.966,20.35
-11.6,89.888,20.35,28.997,20.35
-11.5,89.888,20.35,28.982,20.35
-11.4,89.888,20.35,28.982,20.35
-11.3,89.888,20.35,28.966,20.35
-11.2,89.888,20.35,28.950,20.35
-11.1,89.912,20.35,28.966,20.35
-11.0,89.912,20.35,28.966,20.35
-10.9,89.888,20.35,28.982,20.35
-10.8,89.888,20.35,28.966,20.35
-10.7,89.888,20.35,28.966,20.35
-10.6,89.888,20.35,28.966,20.35
-10.5,89.888,20.35,28.982,20.35
-10.4,89.888,20.35,28.982,20.35
-10.3,89.912,20.35,28.966,20.35
-10.2,89.888,20.35,28.966,20.35
-10.1,89.888,20.35,28.966,20.35
-10.0,89.888,20.35,28.966,20.35
-9.9,89.888,20.35,28.982,20.35
-9.8,89.912,20.35,28.982,20.35
-9.7,89.912,20.35,28.982,20.35
-9.6,89.935,20.35,28.966,20.35
-9.5,89.912,20.35,28.982,20.35
-9.4,89.888,20.35,28.966,20.35
-9.3,89.888,20.35,28.966,20.35
-9.2,89.888,20.35,28.982,20.35
-9.1,89.888,20.35,28.966,20.35
-9.0,89.912,20.35,28.982,20.35
-8.9,89.912,20.35,28.982,20.35
-8.8,89.935,20.35,28.966,20.35
-8.7,89.912,20.35,28.982,20.35
-8.6,89.888,20.35,28.966,20.35
-8.5,89.912,20.35,28.966,20.35
-8.4,89.912,20.35,28.982,20.35
-8.3,89.912,20.35,28.982,20.35
-8.2,89.912,20.35,28.982,20.35
-8.1,89.912,20.35,28.966,20.35
-8.0,89.912,20.35,28.982,20.35
-7.9,89.864,20.35,28.966,20.35
-7.8,89.912,20.35,28.966,20.35
-7.7,89.912,20.35,28.966,20.35
-7.6,89.888,20.35,28.982,20.35
-7.5,89.912,20.35,28.966,20.35
-7.4,89.912,20.35,28.982,20.35
-7.3,89.888,20.35,28.982,20.35
-7.2,89.888,20.35,28.966,20.35
-7.1,89.912,20.35,28.982,20.35
-7.0,89.888,20.35,28.982,20.35
-6.9,89.888,20.35,28.966,20.35
-6.8,89.888,20.35,28.966,20.35
-6.7,89.888,20.35,28.966,20.35
-6.6,89.888,20.35,28.966,20.35
-6.5,89.912,20.35,28.982,20.35
-6.4,89.888,20.35,28.966,20.35
-6.3,89.888,20.35,28.982,20.35
-6.2,89.888,20.35,28.966,20.35
-6.1,89.888,20.35,28.982,20.35
-6.0,89.912,20.35,28.982,20.35
-5.9,89.888,20.35,28.966,20.35
-5.8,89.888,20.35,28.982,20.35
-5.7,89.888,20.35,28.982,20.35
-5.6,89.912,20.35,28.966,20.35
-5.5,89.888,20.35,28.982,20.35
-5.4,89.912,20.35,28.966,20.35
-5.3,89.912,20.35,28.982,20.35
-5.2,89.888,20.35,28.982,20.35
-5.1,89.912,20.35,28.982,20.35
-5.0,89.912,20.35,28.982,20.35
